training_number,generation,timestamp,best_fitness,worst_fitness,avg_fitness,median_fitness,std_fitness,best_distance,avg_distance,median_distance,best_stability,avg_stability,best_energy,avg_energy,best_time_alive,avg_time_alive,absolute_best_fitness,absolute_best_distance,population_size,genome_length,mutation_rate,crossover_rate,elite_size
2,72,2025-11-02 17:51:18,4.011686325073242,0,1.8700031757354736,2.4121806621551514,1.4161562562723229,3.511686325073242,1.3451759433746338,1.9121806621551514,1.0,0.98,470,466.52,500,497.74,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,73,2025-11-02 17:51:50,4.011686325073242,0,2.0437703704833985,2.668114185333252,1.4392582219729662,3.511686325073242,1.5490559673309325,2.168114185333252,1.0,0.94,470,463.7,500,495.6,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,74,2025-11-02 17:52:22,4.011686325073242,0,2.087399654388428,2.870826244354248,1.3731921718801308,3.511686325073242,1.5371460342407226,2.4301042556762695,1.0,0.94,470,464.76,500,495.18,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,75,2025-11-02 17:52:53,4.011686325073242,0,2.054247817993164,2.5284132957458496,1.354692906079342,3.511686325073242,1.493418207168579,2.0776357650756836,1.0,0.96,470,467.0,500,498.28,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,76,2025-11-02 17:53:24,4.011686325073242,0,2.1264367866516114,2.7706727981567383,1.3989310965224822,3.511686325073242,1.6001702117919923,2.2706727981567383,1.0,0.96,470,466.38,500,497.06,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,77,2025-11-02 17:53:56,4.011686325073242,0,2.4212626361846925,2.92201566696167,1.2456779900231376,3.511686325073242,1.9162324333190919,2.4370431900024414,1.0,0.94,470,466.82,500,497.48,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,78,2025-11-02 17:54:28,4.011686325073242,0,1.9081610679626464,2.6620254516601562,1.5294666636152552,3.511686325073242,1.3336051559448243,2.1620254516601562,1.0,0.94,470,466.9,500,498.54,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,79,2025-11-02 17:55:00,4.011686325073242,0,2.100353183746338,2.7048072814941406,1.3999370600854961,3.511686325073242,1.5526437664031982,2.2048072814941406,1.0,0.96,470,464.8,500,497.9,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,80,2025-11-02 17:55:31,4.011686325073242,0,2.1835149002075194,2.8097753524780273,1.3907377779433592,3.511686325073242,1.6866155815124513,2.3097753524780273,1.0,0.9,470,460.2,500,492.84,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,81,2025-11-02 17:56:03,4.011686325073242,0,2.1018517208099365,2.7317123413085938,1.4664691138830532,3.511686325073242,1.5701651191711425,2.305868625640869,1.0,0.94,470,466.68,500,498.52,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,82,2025-11-02 17:56:35,4.011686325073242,0,2.385799541473389,3.04813814163208,1.4516305166022434,3.511686325073242,1.886845998764038,2.54813814163208,1.0,0.92,470,465.2,500,497.22,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,83,2025-11-02 17:57:06,4.159934997558594,0,2.557813663482666,2.8706393241882324,1.3575065773383965,3.6599349975585938,2.0384323978424073,2.395787239074707,1.0,0.96,464,465.64,500,498.28,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,84,2025-11-02 17:57:38,4.159934997558594,0,2.427481756210327,2.9488649368286133,1.3028381474390756,3.6599349975585938,1.8834457778930664,2.461705207824707,1.0,0.94,464,465.26,500,498.76,4.159934997558594,3.6599349975585938,50,500,0.1,0.7,5
2,85,2025-11-02 17:58:09,4.159934997558594,0,1.73775053024292,1.3515217304229736,1.4587928240479129,3.6599349975585938,1.1912580966949462,0.8515217304229736,1.0,0.98,464,466.58,500,499.82,4.159934997558594,3.6599349975585938,50,500,0.1,0.7,5
2,86,2025-11-02 17:58:41,4.159934997558594,0,1.6982345867156983,1.371011734008789,1.47414402232096,3.6599349975585938,1.0586937618255616,0.8710117340087891,1.0,0.98,464,465.88,500,499.98,4.159934997558594,3.6599349975585938,50,500,0.1,0.7,5
2,87,2025-11-02 17:59:13,4.159934997558594,0,2.038693208694458,2.6251888275146484,1.4530210931590597,3.6599349975585938,1.5217904758453369,2.165984630584717,1.0,0.94,464,465.26,500,499.4,4.159934997558594,3.6599349975585938,50,500,0.1,0.7,5
2,88,2025-11-02 17:59:44,4.159934997558594,0,2.213390703201294,2.6657023429870605,1.3222206816472526,3.6599349975585938,1.7017945957183838,2.1657023429870605,1.0,0.96,464,463.86,500,496.82,4.159934997558594,3.6599349975585938,50,500,0.1,0.7,5
2,89,2025-11-02 18:00:15,4.159934997558594,0,1.8305009078979493,2.322800397872925,1.4719779229752696,3.6599349975585938,1.3264845848083495,1.9494788646697998,1.0,0.92,464,463.9,500,495.02,4.159934997558594,3.6599349975585938,50,500,0.1,0.7,5
2,90,2025-11-02 18:00:47,4.159934997558594,0,2.201909990310669,2.7676820755004883,1.4356003354426445,3.6599349975585938,1.63920175075531,2.3260436058044434,1.0,0.92,464,465.66,500,496.66,4.159934997558594,3.6599349975585938,50,500,0.1,0.7,5
2,91,2025-11-02 18:01:18,4.159934997558594,0,2.0312292766571045,2.483259677886963,1.4123283455258566,3.6599349975585938,1.4886023235321044,1.983259677886963,1.0,0.96,464,465.68,500,497.14,4.159934997558594,3.6599349975585938,50,500,0.1,0.7,5
